id,m_id,m_fmr_id,m_messengerid,m_messengername,m_unixtime,m_messagetype,m_latitude,m_longitude,m_modelid,m_showcustommsg,m_datetime,m_batterystate,m_hidden,m_altitude,m_payloadstatus,m_custname,m_custassignee,m_custaddr,m_devicetype,m_devicestatus,m_devicestatussubtype,m_deviceinputstatus,m_devicegroup,m_devicefuelstatus1,m_devicefuelstatus2,m_devicewindspeed,m_devicetemperature,m_devicespeed,m_devicedistance,m_deviceheading,m_devicecompass,m_devicebarometric,m_devicewinddirection,m_devicehumidity,m_time,m_date,payload_asli,payload_latitude,payload_longitude,payload_inputstatus,payload_subtype,m_devicegroupdemo,m_devicefuelcoef,m_devicehatch
1780451,1536991628,sftp0E36aLPodTdWPLKGj9x1N1Od4dcfZBHqi,0-3127001,TNC3127001,2021-02-05 00:02:54,UNLIMITED-TRACK,3.886970,95.83467864990,"","",2021-02-05 00:02:54,LOW,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780455,1536991628,0E36aLPodTdWPLKGj9x1N1Od4dcfZBHqi,0-3127001,TNC3127001,2021-02-05 00:02:54,UNLIMITED-TRACK,3.886970,95.83467864990,SPOTTRACE,Y,2021-02-05 00:02:54,LOW,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780452,1536992237,sftp0E36aLPodTdWPLKGj9x1N1Od4dcfZBHqi,0-4405848,TNC4405848,2021-02-05 00:04:37,UNLIMITED-TRACK,-4.480290,123.13542938232,"","",2021-02-05 00:04:37,GOOD,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780456,1536992677,sftp0E36aLPodTdWPLKGj9x1N1Od4dcfZBHqi,0-3182133,TNC3182133,2021-02-05 00:05:56,UNLIMITED-TRACK,-0.701480,118.45728302002,"","",2021-02-05 00:05:56,GOOD,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780464,1536992677,0E36aLPodTdWPLKGj9x1N1Od4dcfZBHqi,0-3182133,TNC3182133,2021-02-05 00:05:56,UNLIMITED-TRACK,-0.701480,118.45728302002,SPOTTRACE,Y,2021-02-05 00:05:56,GOOD,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780457,1536992835,sftp0E36aLPodTdWPLKGj9x1N1Od4dcfZBHqi,0-3179277,TNC3179277,2021-02-05 00:06:19,NEWMOVEMENT,-4.288040,101.13332366943,"","",2021-02-05 00:06:19,LOW,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780463,1536992835,0E36aLPodTdWPLKGj9x1N1Od4dcfZBHqi,0-3179277,TNC3179277,2021-02-05 00:06:19,NEWMOVEMENT,-4.288040,101.13332366943,SPOTTRACE,Y,2021-02-05 00:06:19,LOW,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780458,1536993404,sftp0E36aLPodTdWPLKGj9x1N1Od4dcfZBHqi,0-3127001,TNC3127001,2021-02-05 00:07:52,UNLIMITED-TRACK,3.886980,95.83479309082,"","",2021-02-05 00:07:52,LOW,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780462,1536993404,0E36aLPodTdWPLKGj9x1N1Od4dcfZBHqi,0-3127001,TNC3127001,2021-02-05 00:07:52,UNLIMITED-TRACK,3.886980,95.83479309082,SPOTTRACE,Y,2021-02-05 00:07:52,LOW,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780459,1536993580,sftp0E36aLPodTdWPLKGj9x1N1Od4dcfZBHqi,0-3171454,tnc0458,2021-02-05 00:08:24,STATUS,-7.957530,131.30538940430,"","",2021-02-05 00:08:24,GOOD,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
